genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_000159495.1,ATCC 25302,Lactobacillus paracasei subsp. paracasei ATCC 25302 (firmicutes),Lactobacillus paracasei,assembly from type material,ACGY01,missing
GCF_000159435.1,ATCC 49540,Lactobacillus vaginalis DSM 5837 = ATCC 49540 (firmicutes),Lactobacillus vaginalis,assembly from type material,ACGV01,missing
GCF_000159415.1,DSM 16047,Lactobacillus ultunensis DSM 16047 (firmicutes),Lactobacillus ultunensis,assembly from type material,ACGU01,missing
GCF_000159395.1,ATCC 11741,Lactobacillus salivarius DSM 20555 = ATCC 11741 (firmicutes),Lactobacillus salivarius,assembly from type material,ACGT01,missing
GCF_000161935.1,101-4-CHN,Lactobacillus coleohominis 101-4-CHN (firmicutes),Lactobacillus coleohominis,,ACOH01,missing
GCF_000160875.1,DSM 13335,Lactobacillus iners DSM 13335 (firmicutes),Lactobacillus iners,assembly from type material,ACLN01,missing
GCF_000160855.1,DSM 20075,Lactobacillus helveticus DSM 20075 = CGMCC 1.1877 (firmicutes),Lactobacillus helveticus,assembly from type material,ACLM01,missing
GCF_000160835.1,DSM 16041,Lactobacillus antri DSM 16041 (firmicutes),Lactobacillus antri,assembly from type material,ACLL01,missing
GCF_000160715.1,MM2-3,Lactobacillus reuteri MM2-3 (firmicutes),Lactobacillus reuteri,,ACLB01,missing
GCF_000160595.1,ATCC 19254,Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (firmicutes),Leuconostoc mesenteroides,assembly from type material,ACKV01,missing
GCF_000160575.1,ATCC 33313,Weissella paramesenteroides ATCC 33313 (firmicutes),Weissella paramesenteroides,assembly from type material,ACKU01,missing
GCF_000160515.1,JV-V01,Lactobacillus crispatus JV-V01 (firmicutes),Lactobacillus crispatus,,ACKR01,missing
GCF_000161895.2,27-2-CHN,Lactobacillus jensenii 27-2-CHN (firmicutes),Lactobacillus jensenii,,ACOF02,missing
GCF_000161915.2,MV-1A-US,Lactobacillus crispatus MV-1A-US (firmicutes),Lactobacillus crispatus,,ACOG02,missing
GCF_000165775.1,R0052,Lactobacillus helveticus R0052 (firmicutes),Lactobacillus helveticus,,,
GCF_000166715.1,KCTC 3527,Leuconostoc gelidum subsp. gelidum KCTC 3527 (firmicutes),Leuconostoc gelidum,assembly from type material,AEMI01,kimchi
GCF_000165675.1,KCTC 3537,Leuconostoc fallax KCTC 3537 (firmicutes),Leuconostoc fallax,assembly from type material,AEIZ01,
GCF_000165885.1,CTV-05,Lactobacillus crispatus CTV-05 (firmicutes),Lactobacillus crispatus,,ADML01,missing
GCF_000163095.1,7_4,Pediococcus acidilactici 7_4 (firmicutes),Pediococcus acidilactici,,ACXB01,missing
GCF_000162435.1,115-3-CHN,Lactobacillus jensenii 115-3-CHN (firmicutes),Lactobacillus jensenii,,ACQN01,missing
GCF_000162395.1,28-3-CHN,Lactobacillus fermentum 28-3-CHN (firmicutes),Lactobacillus fermentum,,ACQG01,missing
GCF_000162335.1,SJ-7A-US,Lactobacillus jensenii SJ-7A-US (firmicutes),Lactobacillus jensenii,,ACQD01,missing
GCF_000162315.1,MV-3A-US,Lactobacillus crispatus MV-3A-US (firmicutes),Lactobacillus crispatus,,ACQC01,missing
GCF_000162255.1,125-2-CHN,Lactobacillus crispatus 125-2-CHN (firmicutes),Lactobacillus crispatus,,ACPV01,missing
GCF_000173255.4,HN001,Lactobacillus rhamnosus HN001 (firmicutes),Lactobacillus rhamnosus,,ABWJ01,
GCF_000166735.1,KCTC 3774,Leuconostoc inhae KCTC 3774 (firmicutes),Leuconostoc inhae,assembly from type material,AEMJ01,kimchi
GCF_000166795.1,KCTC 3167,Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001 (firmicutes),Lactobacillus coryniformis,,AELK01,
GCF_000175355.1,AWRIB429,Oenococcus oeni AWRIB429 (firmicutes),Oenococcus oeni,,ACSE01,
GCF_000175055.1,202-4,Lactobacillus gasseri 202-4 (firmicutes),Lactobacillus gasseri,,ACOZ01,missing
GCF_000175035.1,269-3,Lactobacillus jensenii 269-3 (firmicutes),Lactobacillus jensenii,,ACOY01,missing
GCF_000168955.1,ATCC BAA-1163,Oenococcus oeni ATCC BAA-1163 (firmicutes),Oenococcus oeni,,AAUV01,
GCF_000176975.2,SJ-3C-US,Lactobacillus crispatus SJ-3C-US (firmicutes),Lactobacillus crispatus,,ADDT01,missing
GCF_000176995.2,SJ-9E-US,Lactobacillus gasseri SJ-9E-US (firmicutes),Lactobacillus gasseri,,ADDU01,missing
GCF_000168255.1,100-23,Lactobacillus reuteri 100-23 (firmicutes),Lactobacillus reuteri,,AAPZ02,
GCF_000179455.1,lpuph,Lactobacillus reuteri lpuph (firmicutes),Lactobacillus reuteri,,AEAX01,
GCF_000179435.1,mlc3,Lactobacillus reuteri mlc3 (firmicutes),Lactobacillus reuteri,,AEAW01,
GCF_000179875.1,KCTC 3773,Leuconostoc lactis KCTC 3773 (firmicutes),Leuconostoc lactis,assembly from synonym type material,AEGQ01,
GCF_000179475.1,ACS-116-V-Col5a,Lactobacillus salivarius ACS-116-V-Col5a (firmicutes),Lactobacillus salivarius,,AEBA01,missing
GCF_000179375.1,PB2003/044-T3-4,Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4 (firmicutes),Lactobacillus delbrueckii,,AEAT01,missing
GCF_000178475.1,DSM 11664,Lactobacillus amylolyticus DSM 11664 (firmicutes),Lactobacillus amylolyticus,assembly from type material,ADNY01,missing
GCF_000177755.1,AB-1,Lactobacillus iners AB-1 (firmicutes),Lactobacillus iners,,ADHG01,
GCF_000177575.1,214-1,Lactobacillus crispatus 214-1 (firmicutes),Lactobacillus crispatus,,ADGR01,missing
GCF_000177415.1,224-1,Lactobacillus gasseri 224-1 (firmicutes),Lactobacillus gasseri,,ADFT01,missing
GCF_000177035.2,SV-16A-US,Lactobacillus gasseri SV-16A-US (firmicutes),Lactobacillus gasseri,,ADDY01,missing
GCF_000182855.2,GRL 1112,Lactobacillus amylovorus GRL 1112 (firmicutes),Lactobacillus amylovorus,,,porcine feces
GCF_000184535.1,KCTC 3681,Lactobacillus farciminis KCTC 3681 = DSM 20184 (firmicutes),Lactobacillus farciminis,assembly from type material,AEOT01,Korean traditional kimchi
GCF_000184285.1,KCTC 3535,Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535 (firmicutes),Lactobacillus coryniformis,assembly from type material,AEOS01,Korean traditional kimchi
GCF_000183825.1,KCTC 3501,Lactobacillus animalis KCTC 3501 = DSM 20602 (firmicutes),Lactobacillus animalis,,AEOF01,
GCF_000182835.1,ND02,Lactobacillus delbrueckii subsp. bulgaricus ND02 (firmicutes),Lactobacillus delbrueckii,,,
GCF_000179935.1,LEAF 2053A-b,Lactobacillus iners LEAF 2053A-b (firmicutes),Lactobacillus iners,,AEKH01,missing
GCF_000179955.1,LEAF 2052A-d,Lactobacillus iners LEAF 2052A-d (firmicutes),Lactobacillus iners,,AEKI01,missing
GCF_000179975.1,LEAF 2062A-h1,Lactobacillus iners LEAF 2062A-h1 (firmicutes),Lactobacillus iners,,AEKJ01,missing
GCF_000179995.1,LEAF 3008A-a,Lactobacillus iners LEAF 3008A-a (firmicutes),Lactobacillus iners,,AEKK01,missing
GCF_000180015.1,PB013-T2-3,Lactobacillus oris PB013-T2-3 (firmicutes),Lactobacillus oris,,AEKL01,missing
GCF_000191165.1,2038,Lactobacillus delbrueckii subsp. bulgaricus 2038 (firmicutes),Lactobacillus delbrueckii,,,
GCF_000189515.1,H10,Lactobacillus helveticus H10 (firmicutes),Lactobacillus helveticus,,,
GCF_000185465.1,KCTC 3543,Lactobacillus fructivorans KCTC 3543 = DSM 20203 (firmicutes),Lactobacillus fructivorans,,AEQY01,
GCF_000185085.1,KCTC 3528,Leuconostoc lactis KCTC 3528 = DSM 20202 (firmicutes),Leuconostoc lactis,assembly from type material,AEOR01,
GCF_000185065.1,KCTC 3652,Leuconostoc pseudomesenteroides KCTC 3652 (firmicutes),Leuconostoc pseudomesenteroides,assembly from type material,AEOQ01,
GCF_000185045.1,KCTC 3544,Fructobacillus fructosus KCTC 3544 (firmicutes),Fructobacillus fructosus,,AEOP01,
GCF_000191705.1,UPII 60-B,Lactobacillus iners UPII 60-B (firmicutes),Lactobacillus iners,,AEXK01,
GCF_000191685.1,UPII 143-D,Lactobacillus iners UPII 143-D (firmicutes),Lactobacillus iners,,AEXJ01,
GCF_000191545.1,30SC,Lactobacillus amylovorus (firmicutes),Lactobacillus amylovorus,,,
GCF_000185405.1,ATCC 55195,Lactobacillus iners ATCC 55195 (firmicutes),Lactobacillus iners,,AEPX01,"""urogenital tract, vaginal"""
GCF_000195375.1,MTCC 5462,Lactobacillus rhamnosus MTCC 5462 (firmicutes),Lactobacillus rhamnosus,,AEYM01,healthy human intestinal cavity
GCF_000195355.1,MTCC 5463,Lactobacillus helveticus MTCC 5463 (firmicutes),Lactobacillus helveticus,,AEYL01,healthy human vaginal cavity
GCF_000192165.1,DSM 20072,Lactobacillus delbrueckii subsp. lactis DSM 20072 (firmicutes),Lactobacillus delbrueckii,assembly from type material,AEXU01,
GCF_000194785.1,LC2W,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,traditional dairy products
GCF_000194765.1,BD-II,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,homemade koumiss
GCF_000194115.1,GRL1118,Lactobacillus amylovorus GRL1118 (firmicutes),Lactobacillus amylovorus,,,ileum
GCF_000193635.1,KACC 11862,Weissella cibaria KACC 11862 (firmicutes),Weissella cibaria,assembly from type material,AEKT01,kimchi
GCF_000204435.1,SPIN 1401G,Lactobacillus iners SPIN 1401G (firmicutes),Lactobacillus iners,,AEXP01,
GCF_000196855.1,LMG 18811,Leuconostoc gelidum subsp. gasicomitatum LMG 18811 (firmicutes),Leuconostoc gelidum,assembly from type material,,
GCF_000203855.3,WCFS1,Lactobacillus plantarum WCFS1 (firmicutes),Lactobacillus plantarum,,,
GCF_000219475.1,pf01,Lactobacillus johnsonii pf01 (firmicutes),Lactobacillus johnsonii,,AFQJ01,
GCF_000217735.1,GJ-24,Lactobacillus salivarius GJ-24 (firmicutes),Lactobacillus salivarius,,AFOI01,
GCF_000215465.1,NIAS840,Lactobacillus salivarius NIAS840 (firmicutes),Lactobacillus salivarius,,AFMN01,
GCF_000210515.1,CECT 5716,Lactobacillus fermentum CECT 5716 (firmicutes),Lactobacillus fermentum,,,
GCF_000204985.1,DPC 6026,Lactobacillus johnsonii DPC 6026 (firmicutes),Lactobacillus johnsonii,,,
GCF_000219805.1,KACC 15510,Weissella koreensis KACC 15510 (firmicutes),Weissella koreensis,,,kimchi
GCF_000219785.1,C2,Leuconostoc sp. C2 (firmicutes),Leuconostoc sp. C2,,,kimchi
GCF_000217755.1,SPM0211,Lactobacillus ruminis SPM0211 (firmicutes),Lactobacillus ruminis,,AFOJ01,
GCF_000214785.1,ZW3,Lactobacillus kefiranofaciens ZW3 (firmicutes),Lactobacillus kefiranofaciens,,,
GCF_000211375.1,NRRL B-30929,Lactobacillus buchneri NRRL B-30929 (firmicutes),Lactobacillus buchneri,,,
GCF_000226235.1,CASL,Lactobacillus rhamnosus CASL (firmicutes),Lactobacillus rhamnosus,,AFYD01,
GCF_000234825.3,J18,Leuconostoc mesenteroides subsp. mesenteroides J18 (firmicutes),Leuconostoc mesenteroides,,,
GCF_000225845.1,ATCC 25644,Lactobacillus ruminis ATCC 25644 (firmicutes),Lactobacillus ruminis,,AFYE01,
GCF_000221505.1,F0423,Lactobacillus oris F0423 (firmicutes),Lactobacillus oris,,AFTL01,
GCF_000234825.2,J18,Leuconostoc mesenteroides subsp. mesenteroides J18 (firmicutes),Leuconostoc mesenteroides,,,
GCF_000233755.1,ATCC 8530,Lactobacillus rhamnosus ATCC 8530 (firmicutes),Lactobacillus rhamnosus,,,
GCF_000234825.1,J18,Leuconostoc mesenteroides subsp. mesenteroides J18 (firmicutes),Leuconostoc mesenteroides,,,
GCF_000227195.1,7_1_47FAA,Lactobacillus iners (firmicutes),Lactobacillus iners,,ACWR01,missing
GCF_000224985.1,ATCC 27782,Lactobacillus ruminis ATCC 27782 (firmicutes),Lactobacillus ruminis,,,
GCF_000225325.1,TMW 1.1304,Lactobacillus sanfranciscensis TMW 1.1304 (firmicutes),Lactobacillus sanfranciscensis,,,
GCF_000236455.2,ATCC 53608,Lactobacillus reuteri ATCC 53608 (firmicutes),Lactobacillus reuteri,,,
GCF_000239915.1,LBAE C11,Leuconostoc citreum LBAE C11 (firmicutes),Leuconostoc citreum,assembly from proxytype material,CAGF01,
GCF_000239895.1,LBAE C10,Leuconostoc citreum LBAE C10 (firmicutes),Leuconostoc citreum,,CAGE01,
GCF_000235785.1,R0011,Lactobacillus rhamnosus R0011 (firmicutes),Lactobacillus rhamnosus,,AGKC01,dairy starter culture
GCF_000235805.1,MA18/5M,Pediococcus acidilactici MA18/5M (firmicutes),Pediococcus acidilactici,,AGKB01,pasture gramineae
GCF_000235865.1,ATCC 21052,Lactobacillus rhamnosus ATCC 21052 (firmicutes),Lactobacillus rhamnosus,,AFZY01,
GCF_000237995.1,ATCC BAA-344,Pediococcus claussenii ATCC BAA-344 (firmicutes),Pediococcus claussenii,assembly from type material,,
GCF_000238835.1,F0439,Lactobacillus parafarraginis F0439 (firmicutes),Lactobacillus parafarraginis,,AGEY01,
GCF_000235705.1,CRL 705,Lactobacillus curvatus CRL 705 (firmicutes),Lactobacillus curvatus,,AGBU01,Argentinian dry fermented sausage
GCF_000236455.1,ATCC 53608,Lactobacillus reuteri ATCC 53608 (firmicutes),Lactobacillus reuteri,,CACS02,
GCF_000255515.1,JP7.8.9,Lactobacillus vini JP7.8.9 (firmicutes),Lactobacillus vini,,AHZA01,distillery Japungu of norteast Brazil
GCF_000239935.1,LBAE E16,Leuconostoc citreum LBAE E16 (firmicutes),Leuconostoc citreum,,CAGG01,
GCF_000247735.1,NA,Lactobacillus plantarum subsp. plantarum NC8 (firmicutes),Lactobacillus plantarum,,AGRI01,grass silage
GCF_000255495.1,DSM 20605,Lactobacillus vini DSM 20605 (firmicutes),Lactobacillus vini,assembly from type material,AHYZ01,
GCF_000239955.1,LBAE C39-2,Weissella confusa LBAE C39-2 (firmicutes),Weissella confusa,,CAGH01,
GCF_000247775.1,PS3,Lactobacillus gastricus PS3 (firmicutes),Lactobacillus gastricus,,AICN01,human milk from Spanish woman
GCF_000248095.1,LM1,Lactobacillus mucosae LM1 (firmicutes),Lactobacillus mucosae,,AHIT01,small intestine of sus scrofa domesticus
GCF_000242275.1,F0435,Lactobacillus kisonensis F0435 (firmicutes),Lactobacillus kisonensis,,AGRJ01,
GCF_000241055.1,DSM 17330,Oenococcus kitaharae DSM 17330 (firmicutes),Oenococcus kitaharae,assembly from type material,AFVZ01,
GCF_000248095.2,LM1,Lactobacillus mucosae LM1 (firmicutes),Lactobacillus mucosae,,,small intestine of sus scrofa domesticus
GCF_000260375.1,KCTC 3525,Leuconostoc carnosum KCTC 3525 (firmicutes),Leuconostoc carnosum,assembly from type material,BACM01,
GCF_000276905.1,DSM 20444,Lactobacillus mali KCTC 3596 = DSM 20444 (firmicutes),Lactobacillus mali,assembly from type material,AKKT01,
GCF_000260335.1,SMXD51,Lactobacillus salivarius SMXD51 (firmicutes),Lactobacillus salivarius,,AICL01,cecum of 6 weeks-old tunisian healthy chicken
GCF_000271445.1,KCA1,Lactobacillus pentosus KCA1 (firmicutes),Lactobacillus pentosus,,AKAO01,vagina of a healthy Nigerian woman
GCF_000260775.1,KCTC 3548,Lactobacillus malefermentans DSM 5705 = KCTC 3548 (firmicutes),Lactobacillus malefermentans,assembly from type material,BACN01,
GCF_000260635.1,KCTC 13900,Lactobacillus acidipiscis KCTC 13900 (firmicutes),Lactobacillus acidipiscis,assembly from synonym type material,BACS01,
GCF_000260455.1,KCTC 3814,Lactobacillus versmoldensis DSM 14857 = KCTC 3814 (firmicutes),Lactobacillus versmoldensis,assembly from type material,BACR01,
GCF_000260435.1,KCTC 3804,Lactobacillus zeae DSM 20178 = KCTC 3804 (firmicutes),Lactobacillus zeae,,BACQ01,
GCF_000260415.1,KCTC 3596,Lactobacillus mali KCTC 3596 = DSM 20444 (firmicutes),Lactobacillus mali,assembly from type material,BACP01,
GCF_000260395.1,KCTC 3549,Lactobacillus suebicus DSM 5007 = KCTC 3549 (firmicutes),Lactobacillus suebicus,assembly from type material,BACO01,
GCF_000277855.1,DSM 15814,Lactobacillus rossiae DSM 15814 (firmicutes),Lactobacillus rossiae,assembly from type material,AKZK01,
GCF_000285875.1,IE-3,Pediococcus pentosaceus IE-3 (firmicutes),Pediococcus pentosaceus,,CAHU01,
GCF_000286135.1,AWRIB419,Oenococcus oeni AWRIB419 (firmicutes),Oenococcus oeni,,ALAF01,
GCF_000286115.1,AWRIB318,Oenococcus oeni AWRIB318 (firmicutes),Oenococcus oeni,,ALAD01,
GCF_000277645.1,KCTC 3621,Weissella koreensis KCTC 3621 (firmicutes),Weissella koreensis,assembly from type material,AKGG01,"kimchi, fermented-vegetable foods produced in Korea"
GCF_000283135.1,CECT 5714,Lactobacillus gasseri CECT 5714 (firmicutes),Lactobacillus gasseri,,AKFQ01,human milk
GCF_000283115.1,CECT 5711,Lactobacillus coryniformis subsp. coryniformis CECT 5711 (firmicutes),Lactobacillus coryniformis,,AKFP01,cheese
GCF_000286015.1,AWRIB304,Oenococcus oeni AWRIB304 (firmicutes),Oenococcus oeni,,AJIJ01,
GCF_000284715.1,CNCM I-1519,Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1519 (firmicutes),Lactobacillus delbrueckii,,AGHW01,
GCF_000284695.1,CNCM I-1632,Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (firmicutes),Lactobacillus delbrueckii,,AGFO01,
GCF_000286235.1,AWRIB576,Oenococcus oeni AWRIB576 (firmicutes),Oenococcus oeni,,ALAK01,wine
GCF_000286255.1,AWRIB568,Oenococcus oeni AWRIB568 (firmicutes),Oenococcus oeni,,ALAJ01,wine
GCF_000286215.1,AWRIB553,Oenococcus oeni AWRIB553 (firmicutes),Oenococcus oeni,,ALAI01,
GCF_000286195.1,AWRIB548,Oenococcus oeni AWRIB548 (firmicutes),Oenococcus oeni,,ALAH01,
GCF_000286175.1,AWRIB422,Oenococcus oeni AWRIB422 (firmicutes),Oenococcus oeni,,ALAG01,
GCF_000286155.1,AWRIB418,Oenococcus oeni AWRIB418 (firmicutes),Oenococcus oeni,,ALAE01,
GCF_000297375.1,4882,Leuconostoc pseudomesenteroides 4882 (firmicutes),Leuconostoc pseudomesenteroides,assembly from proxytype material,CAKV01,
GCF_000297025.1,CRBIP 24.76,Lactobacillus pasteurii DSM 23907 = CRBIP 24.76 (firmicutes),Lactobacillus pasteurii,assembly from type material,CAKD01,
GCF_000296855.1,CRBIP 24.85,Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85 (firmicutes),Lactobacillus gigeriorum,assembly from type material,CAKC01,
GCF_000296835.1,CRBIP 24.179,Lactobacillus hominis DSM 23910 = CRBIP 24.179 (firmicutes),Lactobacillus hominis,assembly from type material,CAKE01,
GCF_000309445.1,DSM 20252,Oenococcus oeni DSM 20252 = AWRIB129 (firmicutes),Oenococcus oeni,assembly from type material,AJTP01,
GCF_000309425.1,AWRIB202,Oenococcus oeni AWRIB202 (firmicutes),Oenococcus oeni,,AJTO01,
GCF_000301135.1,FB077-07,Lactobacillus crispatus FB077-07 (firmicutes),Lactobacillus crispatus,,AGZG01,
GCF_000301115.1,FB049-03,Lactobacillus crispatus FB049-03 (firmicutes),Lactobacillus crispatus,,AGZF01,
GCF_000309565.1,12A,Lactobacillus casei 12A (firmicutes),Lactobacillus casei,,AFYJ01,corn silage
GCF_000298115.2,CD034,Lactobacillus buchneri CD034 (firmicutes),Lactobacillus buchneri,,,stable grass silage
GCF_000304715.1,2F,Lactobacillus florum 2F (firmicutes),Lactobacillus florum,,ALXF01,leaves of Valencia Orange Leaf
GCF_000300135.1,JB16,Leuconostoc carnosum JB16 (firmicutes),Leuconostoc carnosum,,,"Kimchi, Korean traditional fermented food"
GCF_000298875.1,JB7,Leuconostoc gelidum JB7 (firmicutes),Leuconostoc gelidum,,,"kimchi, Korean traditional fermented food"
GCF_000309565.2,12A,Lactobacillus casei 12A (firmicutes),Lactobacillus casei,,,corn silage
GCF_000309765.1,Lc-10,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,AFYT01,
GCF_000309745.1,UW4,Lactobacillus casei UW4 (firmicutes),Lactobacillus casei,,AFYS01,cheese
GCF_000309725.1,UW1,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,AFYR01,cheese
GCF_000309705.1,UCD174,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,AFYQ01,wine
GCF_000309685.1,T71499,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,AFYP01,blood
GCF_000309665.1,M36,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,AFYO01,cheese
GCF_000309645.1,CRF28,Lactobacillus paracasei (firmicutes),Lactobacillus casei,,AFYN01,blood
GCF_000309625.1,A2-362,Lactobacillus casei A2-362 (firmicutes),Lactobacillus casei,,AFYM01,wine
GCF_000309605.1,32G,Lactobacillus paracasei (firmicutes),Lactobacillus casei,,AFYL01,corn silage
GCF_000309585.1,21/1,Lactobacillus casei 21/1 (firmicutes),Lactobacillus casei,,AFYK01,corn silage
GCF_000312405.1,Autruche 4,Lactobacillus ingluviei str. Autruche 4 (firmicutes),Lactobacillus ingluviei,,CAKF01,
GCF_000318035.1,W56,Lactobacillus casei W56 (firmicutes),Lactobacillus casei,,,
GCF_000320345.1,NC36,Weissella ceti NC36 (firmicutes),Weissella ceti,,ANCA01,spleen
GCF_000317165.1,30a,Lactobacillus saerimneri 30a (firmicutes),Lactobacillus saerimneri,,ANAG01,stomach
GCF_000319265.1,NGRI 0510Q,Pediococcus acidilactici NGRI 0510Q (firmicutes),Pediococcus acidilactici,assembly from synonym type material,BANK01,
GCF_000312645.1,CIP 110162,Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162 (firmicutes),Lactobacillus equicursoris,,CAMA01,
GCF_000312625.1,66c,Lactobacillus equicursoris 66c (firmicutes),Lactobacillus equicursoris,,CALZ01,
GCF_000311965.1,LRHMDP3,Lactobacillus rhamnosus LRHMDP3 (firmicutes),Lactobacillus rhamnosus,,AMQX01,
GCF_000311945.1,LRHMDP2,Lactobacillus rhamnosus LRHMDP2 (firmicutes),Lactobacillus rhamnosus,,AMQW01,
GCF_000309785.1,Lpc-37,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,AFYU01,
GCF_000380265.1,D3,Pediococcus acidilactici D3 (firmicutes),Pediococcus acidilactici,,AQGT01,
GCF_000383435.1,RODS-DW,Lactobacillus parabrevis ATCC 53295 (firmicutes),Lactobacillus parabrevis,assembly from type material,ARTH01,
GCF_000364205.1,ASF361,Lactobacillus murinus ASF361 (firmicutes),Lactobacillus murinus,,AQFS01,Cecum
GCF_000364185.1,ASF360,Lactobacillus sp. ASF360 (firmicutes),Lactobacillus sp. ASF360,,AQFR01,Cecum
GCF_000376145.1,UW4,Lactobacillus casei UW4 (firmicutes),Lactobacillus casei,,AQVS01,
GCF_000372485.1,DSM 20252,Oenococcus oeni DSM 20252 = AWRIB129 (firmicutes),Oenococcus oeni,assembly from type material,AQVA01,Wine
